"";"t_n";"x";"x_diff"
"569";3305;3,84;0,58
"570";3308;3,77;-0,0699999999999998
"571";3311;3,57;-0,2
"572";3313;3,63;0,0600000000000001
"573";3316;3,84;0,21
"574";3319;3,65;-0,19
"575";3322;3,47;-0,18
"576";3327;3,38;-0,0900000000000003
"577";3329;3,41;0,0300000000000002
"578";3331;3,36;-0,0500000000000003
"579";3333;3,2;-0,16
"580";3335;3,48;0,28
"581";3337;3,23;-0,25
"582";3339;3,85;0,62
"583";3341;3,66;-0,19
"584";3343;3,85;0,19
"585";3345;3,55;-0,3
"586";3347;3,62;0,0700000000000003
"587";3350;3,62;0
"588";3352;3,64;0,02
"589";3354;3,45;-0,19
"590";3356;3,55;0,0999999999999996
"591";3358;3,44;-0,11
"592";3360;3,38;-0,0600000000000001
"593";3362;3,39;0,0100000000000002
"594";3364;3,64;0,25
"595";3366;3,07;-0,57
"596";3368;3,28;0,21
"597";3370;3,16;-0,12
"598";3372;3,15;-0,0100000000000002
"599";3375;3,17;0,02
"600";3378;3,19;0,02
"601";3381;3,14;-0,0499999999999998
"602";3384;3,23;0,0899999999999999
"603";3387;3,14;-0,0899999999999999
"604";3390;3,17;0,0299999999999998
"605";3393;3,53;0,36
"606";3396;3,18;-0,35
"607";3399;3,29;0,11
"608";3402;3,17;-0,12
"609";3404;3,27;0,1
"610";3406;3,15;-0,12
"611";3408;2,85;-0,3
"612";3410;2,91;0,0600000000000001
"613";3412;3,34;0,43
"614";3414;3,38;0,04
"615";3417;3,2;-0,18
"616";3419;3,24;0,04
"617";3421;3,17;-0,0700000000000003
"618";3423;3,18;0,0100000000000002
"619";3424;3,04;-0,14
"620";3426;3,23;0,19
"621";3428;3,18;-0,0499999999999998
"622";3429;3,24;0,0600000000000001
"623";3431;3,37;0,13
"624";3433;3,25;-0,12
"625";3434;3,32;0,0699999999999998
"626";3436;3,43;0,11
"627";3438;3,35;-0,0800000000000001
"628";3439;3,34;-0,0100000000000002
"629";3441;3,23;-0,11
"630";3443;3,29;0,0600000000000001
"631";3444;3,16;-0,13
"632";3446;3,15;-0,0100000000000002
"633";3447;2,89;-0,26
"634";3449;3,07;0,18
"635";3451;2,99;-0,0799999999999996
"636";3452;2,91;-0,0800000000000001
"637";3454;2,9;-0,0100000000000002
"638";3456;2,87;-0,0299999999999998
"639";3457;2,95;0,0800000000000001
"640";3459;3,29;0,34
"641";3461;3,11;-0,18
