"","phi","n","variable","value"
"433",-0.1,100,"phi_iar",-0.266405339357353
"434",-0.1,100,"phi_iar",0.370717985030844
"435",-0.1,100,"phi_iar",-0.202123697589036
"436",-0.1,100,"phi_iar",0.426808318171788
"437",-0.1,100,"phi_iar",-0.203585499584557
"438",-0.1,100,"phi_iar",-0.558072927620309
"439",-0.1,100,"phi_iar",-0.176069108444409
"440",-0.1,100,"phi_iar",-0.389665253969825
"441",-0.1,100,"phi_iar",-0.305876004366394
"442",-0.1,100,"phi_iar",-0.266197028405629
"443",-0.1,100,"phi_iar",-0.131644447369297
"444",-0.1,100,"phi_iar",-0.26175042476297
"445",-0.1,100,"phi_iar",-0.254775754262856
"446",-0.1,100,"phi_iar",0.159865095165709
"447",-0.1,100,"phi_iar",0.385986923096355
"448",-0.1,100,"phi_iar",0.208543941277901
"449",-0.1,100,"phi_iar",-0.391964426787668
"450",-0.1,100,"phi_iar",-0.325994806102365
"451",-0.1,100,"phi_iar",-0.125828927464752
"452",-0.1,100,"phi_iar",-0.344820841649461
"453",-0.1,100,"phi_iar",0.181841786596543
"454",-0.1,100,"phi_iar",-0.0864430410486114
"455",-0.1,100,"phi_iar",-0.288361119561129
"456",-0.1,100,"phi_iar",0.108100872283789
"457",-0.1,100,"phi_iar",0.0678620696217251
"458",-0.1,100,"phi_iar",-0.359267964687199
"459",-0.1,100,"phi_iar",0.261279749824569
"460",-0.1,100,"phi_iar",-0.0192149550099598
"461",-0.1,100,"phi_iar",-0.187148783846364
"462",-0.1,100,"phi_iar",0.228733937734449
"463",-0.1,100,"phi_iar",0.197954969020009
"464",-0.1,100,"phi_iar",0.165247251143288
"465",-0.1,100,"phi_iar",0.416787419915303
"466",-0.1,100,"phi_iar",-0.0956884888534257
"467",-0.1,100,"phi_iar",0.426586340022234
"468",-0.1,100,"phi_iar",0.182953740387212
"469",-0.1,100,"phi_iar",-0.333749217299389
"470",-0.1,100,"phi_iar",0.164316354075036
"471",-0.1,100,"phi_iar",-0.350844696738321
"472",-0.1,100,"phi_iar",0.0375914470968315
"473",-0.1,100,"phi_iar",-0.241912004882686
"474",-0.1,100,"phi_iar",-0.0989616056761093
"475",-0.1,100,"phi_iar",0.176919463712828
"476",-0.1,100,"phi_iar",-0.358086724186608
"477",-0.1,100,"phi_iar",-0.113397712525946
"478",-0.1,100,"phi_iar",-0.490326050978394
"479",-0.1,100,"phi_iar",0.0273966900164848
"480",-0.1,100,"phi_iar",0.0512412285688226
"481",-0.1,100,"phi_iar",-0.467244388901906
"482",-0.1,100,"phi_iar",0.0192312369831404
"483",-0.1,100,"phi_iar",-0.070143030322912
"484",-0.1,100,"phi_iar",-0.459268543573725
"485",-0.1,100,"phi_iar",-0.602163376026906
"486",-0.1,100,"phi_iar",-0.403814232106823
"487",-0.1,100,"phi_iar",-0.019090946758416
"488",-0.1,100,"phi_iar",-0.0987288638625016
"489",-0.1,100,"phi_iar",0.0607479649450233
"490",-0.1,100,"phi_iar",-0.0576286703586968
"491",-0.1,100,"phi_iar",-0.45292118154564
"492",-0.1,100,"phi_iar",-0.427721015156877
"493",-0.1,100,"phi_iar",0.00685113910844361
"494",-0.1,100,"phi_iar",-0.268096803831336
"495",-0.1,100,"phi_iar",-0.0245691443234187
"496",-0.1,100,"phi_iar",-0.133483142351299
"497",-0.1,100,"phi_iar",-0.139930789191433
"498",-0.1,100,"phi_iar",0.411775905079696
"499",-0.1,100,"phi_iar",-0.227791750395235
"500",-0.1,100,"phi_iar",-0.3784399523608
"501",-0.1,100,"phi_iar",0.152074110657752
"502",-0.1,100,"phi_iar",-0.181800114161344
"503",-0.1,100,"phi_iar",-0.233966835729184
"504",-0.1,100,"phi_iar",-0.23803102730359
"505",-0.1,100,"phi_iar",0.0487069590965443
"506",-0.1,100,"phi_iar",-0.319566631040556
"507",-0.1,100,"phi_iar",-0.423025277058969
"508",-0.1,100,"phi_iar",-0.279869296038321
"509",-0.1,100,"phi_iar",-0.168898019930366
"510",-0.1,100,"phi_iar",-0.0560147046001611
"511",-0.1,100,"phi_iar",-0.261970213996513
"512",-0.1,100,"phi_iar",0.0538158947561366
"513",-0.1,100,"phi_iar",-0.291971728681199
"514",-0.1,100,"phi_iar",-0.169963243959686
"515",-0.1,100,"phi_iar",0.0676394567861298
"516",-0.1,100,"phi_iar",-0.317755953025391
"517",-0.1,100,"phi_iar",-0.237941746926348
"518",-0.1,100,"phi_iar",-0.179279043345377
"519",-0.1,100,"phi_iar",-0.107490977959753
"520",-0.1,100,"phi_iar",-0.0523237168508556
"521",-0.1,100,"phi_iar",-0.180669049525148
"522",-0.1,100,"phi_iar",-0.255629420592683
"523",-0.1,100,"phi_iar",0.205279547916874
"524",-0.1,100,"phi_iar",-0.332371385084002
"525",-0.1,100,"phi_iar",0.167254770787834
"526",-0.1,100,"phi_iar",0.0680131568372138
"527",-0.1,100,"phi_iar",-0.103283924035035
"528",-0.1,100,"phi_iar",0.113261134617241
"529",-0.1,100,"phi_iar",0.333986815531992
"530",-0.1,100,"phi_iar",0.607503004119251
"531",-0.1,100,"phi_iar",0.356657796775499
"532",-0.1,100,"phi_iar",0.292626008226216
"533",-0.1,100,"phi_iar",-0.160684017861824
"534",-0.1,100,"phi_iar",-0.314024685243301
"535",-0.1,100,"phi_iar",-0.319692079088948
"536",-0.1,100,"phi_iar",-0.0533159801675184
"537",-0.1,100,"phi_iar",-0.167094578566823
"538",-0.1,100,"phi_iar",0.134045872558582
"539",-0.1,100,"phi_iar",-0.353014736271603
"540",-0.1,100,"phi_iar",-0.0191686000303491
