"","mle_phi","mle_se","bte_phi","bte_se","phi","n"
"2093",-0.912661012450928,0.0256580094258526,-0.90507394137658,0.0273821539605639,-0.9,"100"
"2094",-0.886093390291626,0.0295651965574327,-0.877573204616239,0.0340498631948384,-0.9,"100"
"2095",-0.833501456122409,0.0384022798767508,-0.82774305802619,0.0402170789274043,-0.9,"100"
"2096",-0.883366955333269,0.0304571971377135,-0.876715593082488,0.0309899392436812,-0.9,"100"
"2097",-0.91027531186727,0.026348882144014,-0.903004796191291,0.0279277989481256,-0.9,"100"
"2098",-0.898251437716461,0.0277866524876336,-0.888602341025664,0.031511043442234,-0.9,"100"
"2099",-0.928146687842455,0.0238249463138591,-0.919177597151301,0.0279838349991051,-0.9,"100"
"2100",-0.858540273165964,0.0356194912419628,-0.851249420165368,0.0385917168333332,-0.9,"100"
"2101",-0.908035820684134,0.0266535619307149,-0.900753110777783,0.0283457398454404,-0.9,"100"
"2102",-0.900556364842923,0.0271563393981409,-0.89475908272332,0.0304739429621265,-0.9,"100"
"2103",-0.875144820414462,0.0333540417707591,-0.868201894981236,0.0352503929801434,-0.9,"100"
"2104",-0.916404668204832,0.0251308006132524,-0.909773948989193,0.0277178613446486,-0.9,"100"
